Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SP1,19/08/16,Ath Bilbao,Barcelona,1,0,H,0,0,D,12,9,6,3,14,9,3,8,1,1,0,0
SP1,19/08/17,Celta,Real Madrid,1,3,A,0,1,A,7,15,5,12,17,12,6,4,6,2,0,1
SP1,19/08/17,Valencia,Sociedad,1,1,D,0,0,D,11,9,7,4,13,14,3,3,3,4,1,0
SP1,19/08/17,Mallorca,Eibar,2,1,H,1,0,H,14,12,4,6,13,14,9,3,2,3,0,0
SP1,19/08/17,Leganes,Osasuna,0,1,A,0,0,D,9,5,3,3,17,12,8,0,1,4,1,0
SP1,19/08/17,Villarreal,Granada,4,4,D,1,1,D,11,12,8,8,10,16,2,7,3,1,0,0
SP1,19/08/18,Alaves,Levante,1,0,H,0,0,D,9,12,3,5,18,15,2,9,2,1,0,0
SP1,19/08/18,Espanol,Sevilla,0,2,A,0,1,A,7,11,3,5,11,17,8,4,2,2,0,0
SP1,19/08/18,Betis,Valladolid,1,2,A,0,0,D,10,11,5,4,11,19,6,1,2,6,1,0
SP1,19/08/18,Ath Madrid,Getafe,1,0,H,1,0,H,6,5,6,0,19,22,3,4,2,4,1,1
SP1,19/08/23,Granada,Sevilla,0,1,A,0,0,D,8,9,0,7,13,14,6,6,1,1,0,0
SP1,19/08/23,Levante,Villarreal,2,1,H,0,1,A,13,20,5,7,5,9,7,3,1,2,0,0
SP1,19/08/24,Osasuna,Eibar,0,0,D,0,0,D,7,9,3,0,15,12,6,6,4,4,0,0
SP1,19/08/24,Real Madrid,Valladolid,1,1,D,0,0,D,23,7,5,3,12,11,4,3,2,2,0,0
SP1,19/08/24,Celta,Valencia,1,0,H,1,0,H,8,7,7,2,8,12,6,4,1,2,0,0
SP1,19/08/24,Getafe,Ath Bilbao,1,1,D,1,1,D,7,4,3,3,15,11,4,6,2,1,0,0
SP1,19/08/25,Alaves,Espanol,0,0,D,0,0,D,11,6,3,2,13,10,3,5,3,1,0,0
SP1,19/08/25,Mallorca,Sociedad,0,1,A,0,0,D,13,12,6,4,16,12,5,5,1,2,0,0
SP1,19/08/25,Leganes,Ath Madrid,0,1,A,0,0,D,11,8,5,4,12,14,9,4,4,5,0,0
SP1,19/08/25,Barcelona,Betis,5,2,H,1,1,D,22,6,8,5,14,12,11,0,1,1,0,0
