Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SP1,20/10/24,Barcelona,Real Madrid,1,3,A,1,1,D,10,17,4,10,5,11,7,7,3,2,0,0
SP1,20/10/24,Osasuna,Ath Bilbao,1,0,H,0,0,D,7,13,2,5,17,11,2,5,3,2,0,0
SP1,20/10/24,Sevilla,Eibar,0,1,A,0,1,A,23,4,5,2,11,10,13,3,0,3,0,0
SP1,20/10/24,Ath Madrid,Betis,2,0,H,0,0,D,16,14,8,5,18,12,8,5,2,0,0,1
SP1,20/10/25,Valladolid,Alaves,0,2,A,0,0,D,7,13,2,3,8,7,2,4,1,0,1,0
SP1,20/10/25,Cadiz,Villarreal,0,0,D,0,0,D,6,6,0,3,13,8,0,5,2,2,0,0
SP1,20/10/25,Getafe,Granada,0,1,A,0,1,A,11,8,3,4,17,23,6,1,4,2,0,0
SP1,20/10/25,Sociedad,Huesca,4,1,H,1,0,H,13,7,7,5,11,12,4,5,2,1,0,0
SP1,20/10/26,Levante,Celta,1,1,D,0,0,D,13,12,6,5,13,19,3,2,2,2,0,0
SP1,20/10/30,Eibar,Cadiz,0,2,A,0,2,A,13,6,6,5,10,10,7,2,1,1,0,0
SP1,20/10/31,Real Madrid,Huesca,4,1,H,2,0,H,14,8,7,3,16,9,6,3,0,2,0,0
SP1,20/10/31,Ath Bilbao,Sevilla,2,1,H,0,1,A,16,8,5,3,19,19,6,1,5,5,0,0
SP1,20/10/31,Osasuna,Ath Madrid,1,3,A,0,1,A,9,11,4,7,10,11,3,2,1,2,0,0
SP1,20/10/31,Alaves,Barcelona,1,1,D,1,0,H,5,27,4,11,16,4,2,14,3,3,1,0
SP1,20/11/01,Betis,Elche,3,1,H,2,0,H,17,5,10,3,13,12,1,1,2,1,0,0
SP1,20/11/01,Celta,Sociedad,1,4,A,0,2,A,11,9,4,7,19,16,2,3,1,5,1,0
SP1,20/11/01,Granada,Levante,1,1,D,1,1,D,7,21,3,6,7,13,2,8,2,3,1,0
SP1,20/11/01,Valencia,Getafe,2,2,D,1,0,H,11,15,6,5,19,25,0,3,7,4,1,1
SP1,20/11/02,Villarreal,Valladolid,2,0,H,2,0,H,12,10,6,2,14,12,6,4,1,3,0,0
SP1,20/11/06,Elche,Celta,1,1,D,1,1,D,9,11,2,4,13,14,3,3,3,5,0,0
SP1,20/11/07,Huesca,Eibar,1,1,D,0,1,A,14,8,6,4,17,31,4,3,2,0,0,0
SP1,20/11/07,Barcelona,Betis,5,2,H,1,1,D,19,12,9,6,8,10,9,5,2,2,0,1
SP1,20/11/07,Sevilla,Osasuna,1,0,H,0,0,D,6,5,4,3,13,19,3,0,2,3,0,0
SP1,20/11/07,Ath Madrid,Cadiz,4,0,H,2,0,H,17,12,9,5,12,9,2,7,1,1,0,0
SP1,20/11/08,Getafe,Villarreal,1,3,A,1,2,A,11,9,5,6,18,12,3,3,3,4,0,0
SP1,20/11/08,Sociedad,Granada,2,0,H,2,0,H,18,2,9,0,7,9,15,0,2,1,1,0
SP1,20/11/08,Levante,Alaves,1,1,D,0,1,A,20,7,6,3,12,16,12,1,1,5,0,1
SP1,20/11/08,Valladolid,Ath Bilbao,2,1,H,1,0,H,8,21,5,5,23,11,2,11,4,2,0,0
SP1,20/11/08,Valencia,Real Madrid,4,1,H,2,1,H,6,18,4,8,13,14,1,8,3,2,0,0
SP1,20/11/20,Osasuna,Huesca,1,1,D,0,1,A,17,9,8,8,14,15,4,3,2,3,0,0
SP1,20/11/21,Levante,Elche,1,1,D,1,0,H,15,13,7,6,15,11,5,4,1,4,0,0
SP1,20/11/21,Villarreal,Real Madrid,1,1,D,0,1,A,14,8,2,2,15,14,4,2,1,2,0,0
SP1,20/11/21,Sevilla,Celta,4,2,H,2,2,D,13,8,10,5,12,20,3,2,2,2,0,0
SP1,20/11/21,Ath Madrid,Barcelona,1,0,H,1,0,H,7,10,2,5,12,7,8,8,4,0,0,0
SP1,20/11/22,Eibar,Getafe,0,0,D,0,0,D,14,11,4,6,17,23,3,4,2,4,1,0
SP1,20/11/22,Cadiz,Sociedad,0,1,A,0,0,D,3,17,0,5,13,14,1,6,2,1,0,0
SP1,20/11/22,Granada,Valladolid,1,3,A,0,1,A,19,11,9,4,16,17,5,3,4,3,0,0
SP1,20/11/22,Alaves,Valencia,2,2,D,2,0,H,14,13,4,4,20,15,4,5,1,1,0,0
SP1,20/11/23,Ath Bilbao,Betis,4,0,H,2,0,H,13,8,7,2,13,8,6,3,0,0,0,0
SP1,20/11/27,Valladolid,Levante,1,1,D,0,0,D,9,11,5,4,19,11,3,11,0,3,0,0
SP1,20/11/28,Elche,Cadiz,1,1,D,1,0,H,5,10,3,5,15,15,1,9,5,2,1,0
SP1,20/11/28,Valencia,Ath Madrid,0,1,A,0,0,D,5,10,3,5,12,14,2,7,2,5,0,0
SP1,20/11/28,Huesca,Sevilla,0,1,A,0,0,D,6,15,2,4,12,8,1,10,4,3,0,0
