Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SP1,22/08/12,Osasuna,Sevilla,2,1,H,1,1,D,13,10,6,5,16,9,5,2,5,3,0,0
SP1,22/08/13,Celta,Espanol,2,2,D,1,0,H,9,15,4,3,17,15,3,3,5,2,0,0
SP1,22/08/13,Valladolid,Villarreal,0,3,A,0,0,D,13,12,7,5,6,10,4,5,1,0,0,0
SP1,22/08/13,Barcelona,Vallecano,0,0,D,0,0,D,24,6,7,3,16,14,8,0,2,6,1,0
SP1,22/08/14,Cadiz,Sociedad,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/14,Valencia,Girona,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/14,Almeria,Real Madrid,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/15,Ath Bilbao,Mallorca,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/15,Getafe,Ath Madrid,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/15,Betis,Elche,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/19,Espanol,Vallecano,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/19,Sevilla,Valladolid,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/20,Osasuna,Cadiz,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/20,Mallorca,Betis,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/20,Celta,Real Madrid,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/21,Ath Bilbao,Valencia,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/21,Ath Madrid,Villarreal,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/21,Sociedad,Barcelona,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/22,Elche,Almeria,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/22,Girona,Getafe,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/26,Girona,Celta,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/26,Betis,Osasuna,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/27,Elche,Sociedad,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/27,Vallecano,Mallorca,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/27,Almeria,Sevilla,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/28,Getafe,Villarreal,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/28,Barcelona,Valladolid,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/28,Espanol,Real Madrid,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/29,Cadiz,Ath Bilbao,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/08/29,Valencia,Ath Madrid,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/02,Celta,Cadiz,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/03,Mallorca,Girona,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/03,Real Madrid,Betis,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/03,Sociedad,Ath Madrid,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/03,Sevilla,Barcelona,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/04,Osasuna,Vallecano,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/04,Ath Bilbao,Espanol,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/04,Villarreal,Elche,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/04,Valencia,Getafe,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/05,Valladolid,Almeria,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/09,Girona,Valladolid,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/10,Vallecano,Valencia,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/10,Espanol,Sevilla,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/10,Cadiz,Barcelona,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/10,Real Madrid,Mallorca,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/11,Getafe,Sociedad,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/11,Elche,Ath Bilbao,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/11,Ath Madrid,Celta,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/11,Betis,Villarreal,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/12,Almeria,Osasuna,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/18,Ath Bilbao,Vallecano,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/18,Ath Madrid,Real Madrid,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/18,Barcelona,Elche,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/18,Betis,Girona,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/18,Valencia,Celta,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/18,Osasuna,Getafe,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/18,Valladolid,Cadiz,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/18,Sociedad,Espanol,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/18,Villarreal,Sevilla,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/09/18,Mallorca,Almeria,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/02,Getafe,Valladolid,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/02,Cadiz,Villarreal,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/02,Espanol,Valencia,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/02,Girona,Sociedad,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/02,Sevilla,Ath Madrid,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/02,Mallorca,Barcelona,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/02,Celta,Betis,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/02,Vallecano,Elche,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/02,Real Madrid,Osasuna,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/02,Ath Bilbao,Almeria,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/09,Ath Madrid,Girona,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/09,Barcelona,Celta,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/09,Elche,Mallorca,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/09,Getafe,Real Madrid,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/09,Cadiz,Espanol,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/09,Osasuna,Valencia,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/09,Sociedad,Villarreal,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/09,Almeria,Vallecano,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/09,Sevilla,Ath Bilbao,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/09,Valladolid,Betis,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/16,Ath Bilbao,Ath Madrid,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/16,Celta,Sociedad,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/16,Mallorca,Sevilla,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/16,Espanol,Valladolid,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/16,Real Madrid,Barcelona,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/16,Valencia,Elche,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/16,Vallecano,Getafe,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/16,Girona,Cadiz,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/16,Villarreal,Osasuna,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/16,Betis,Almeria,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/19,Ath Madrid,Vallecano,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/19,Barcelona,Villarreal,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/19,Elche,Real Madrid,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/19,Sevilla,Valencia,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/19,Almeria,Girona,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/19,Getafe,Ath Bilbao,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/19,Cadiz,Betis,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/19,Valladolid,Celta,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP1,22/10/19,Sociedad,Mallorca,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
