Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SP1,21/08/13,Valencia,Getafe,1,0,H,1,0,H,5,24,3,4,25,16,1,9,6,2,1,1
SP1,21/08/14,Mallorca,Betis,1,1,D,1,0,H,7,11,3,2,11,20,3,3,1,3,0,0
SP1,21/08/14,Cadiz,Levante,1,1,D,0,1,A,9,13,4,3,12,16,2,4,1,5,0,0
SP1,21/08/14,Osasuna,Espanol,0,0,D,0,0,D,15,12,2,2,17,12,4,6,3,3,0,0
SP1,21/08/14,Alaves,Real Madrid,1,4,A,0,0,D,12,22,5,9,14,8,0,4,1,2,0,0
SP1,21/08/15,Celta,Ath Madrid,1,2,A,0,1,A,10,14,3,4,11,8,2,5,4,5,1,1
SP1,21/08/15,Barcelona,Sociedad,4,2,H,2,0,H,15,11,10,4,11,17,5,3,2,4,0,0
SP1,21/08/15,Sevilla,Vallecano,3,0,H,1,0,H,22,5,11,4,13,8,4,0,1,0,0,1
SP1,21/08/16,Villarreal,Granada,0,0,D,0,0,D,16,7,4,2,20,20,6,2,4,1,1,0
SP1,21/08/16,Elche,Ath Bilbao,0,0,D,0,0,D,13,10,5,5,13,19,6,8,2,2,0,0
SP1,21/08/20,Betis,Cadiz,1,1,D,1,1,D,17,10,7,5,9,9,4,5,4,0,0,0
SP1,21/08/21,Alaves,Mallorca,0,1,A,0,0,D,10,14,3,4,14,16,1,8,2,3,1,0
SP1,21/08/21,Granada,Valencia,1,1,D,1,0,H,9,19,3,7,14,14,2,6,4,2,0,0
SP1,21/08/21,Espanol,Villarreal,0,0,D,0,0,D,17,14,7,4,11,10,9,7,3,4,0,0
SP1,21/08/21,Ath Bilbao,Barcelona,1,1,D,0,0,D,18,12,7,6,15,9,13,2,1,2,0,1
SP1,21/08/22,Sociedad,Vallecano,1,0,H,0,0,D,16,11,9,2,21,15,5,4,3,4,0,0
SP1,21/08/22,Ath Madrid,Elche,1,0,H,1,0,H,9,5,5,3,12,9,2,1,2,2,0,0
SP1,21/08/22,Levante,Real Madrid,3,3,D,0,1,A,9,22,5,6,14,6,4,6,3,2,1,0
SP1,21/08/23,Getafe,Sevilla,0,1,A,0,0,D,13,10,0,5,17,14,5,4,3,2,0,0
SP1,21/08/23,Osasuna,Celta,0,0,D,0,0,D,17,5,8,0,14,6,1,2,4,3,0,0
SP1,21/08/27,Mallorca,Espanol,1,0,H,1,0,H,12,9,8,4,16,17,3,2,4,3,0,1
SP1,21/08/27,Valencia,Alaves,3,0,H,2,0,H,10,10,5,4,16,15,4,4,1,4,0,0
SP1,21/08/28,Celta,Ath Bilbao,0,1,A,0,1,A,16,8,0,3,12,9,5,4,2,1,0,0
SP1,21/08/28,Sociedad,Levante,1,0,H,1,0,H,6,5,4,0,16,11,2,2,1,1,0,0
