"doc_id","text"
"1130310476565536768","ESTAMOS TODOS DE ACUERDO QUE JOHN MEREC<U+00CD>A M<U+00C1>S??? #GameOfThrones #GameOfThronesFinale"
"1130310476544585728","#GameOfThronesFinale  im<U+00E1>genes desde las oficinas de HBO https://t.co/ttuXtjrpeP"
"1130310476502638592","Game Of Thrones started like a Marvel movie and has finished like a DC movie.

#GameOfThronesFinale #GameofThrones https://t.co/Ki9s2qKS7E"
"1130310476464906245","Pelo menos o Bran n<U+00E3>o vai passar a perna em ningu<U+00E9>m  #GameOfThronesFinale https://t.co/gKWm8pRsrR"
"1130310476435460097","MOST DISAPPOINTING ENDING IN THE WORLD

#GameOfThronesFinale"
"1130310476372557825","I'm shocked the writer of X-Men Origins: Wolverine couldn't tell a coherent story once left to his own devices. Christ. #GameOfThronesFinale #GameOfThrones"
"1130310476343250944","Parece final de novela do Manoel Carlos. #GameOfThronesFinale"
"1130310476318089216","#GameOfThronesFinale true https://t.co/2BPo0jljKD"
"1130310476263374848","FIRST SPIN-OFF
""THE WALL""

The life of Jon Snow and Tormund
HBO, 2020 

#GameOfThronesFinale #GameOfThrones https://t.co/MOV1kjhpz3"
"1130310392343912448","O fim de Game of Thrones foi h<U+00E1> 2 anos e n<U+00E3>o percebemos... #GameOfThronesFinale https://t.co/4z8gQrwDrE"
"1130310476204838915","Os <U+00FA>nicos personagens que n<U+00E3>o estragaram #GameOfThronesFinale https://t.co/5CTCsMu1ON"
"1130310476150321152","Drogon really destroyed the Iron Throne because Bran can<U+2019>t sit on it... #GameOfThronesFinale #GameOfThrones https://t.co/mFnHmQFvqR"
"1130310476125151233","Essa cena do Drogon tentando levantar a Daenerys <U+00E9> de partir o cora<U+00E7><U+00E3>o! 

#GameOfThronesFinale 
#GameOfThrones https://t.co/bx8M2rS8b6"
"1130310475969904645","Cuando Brienne estaba terminando la Bio del matarreyes pens<U+00E9> que iba a poner que hab<U+00ED>a dejado una semillita en ella (? So<U+00F1>ar no cuesta nada #GameOfThronesFinale"
"1130310475877691393","Lord of Lightning.  It<U+2019>s actually cold enough, that you<U+2019>ll wish you had a cape.  <U+2066>@ian_leonard<U+2069> #GameOfThronesFinale https://t.co/VjaCz2oDdp"
"1130310475839709186","I feel like game of thrones shot multiple endings to prevent spoilers and then forgot which one was the real ending and just submitted #4 #GameOfThronesFinale"
"1130310475793797120","""best season ever"" #GameOfThronesFinale https://t.co/IeT1Vb11Fr"
"1130310475776954370","All makes sense now the Night King and is army were just trying to stop this shit ending from happening they were the good guys all along #GameOfThronesFinale https://t.co/xdPXVI859p"
"1130310475772825600","no meu universo paralelo <U+00E0> muralha vai ser reconstru<U+00ED>da com alta tecnologia, mais resistente que gelo. #GameOfThronesFinale https://t.co/ouhocWpLng"
"1130310475726630912","ok  vou ter que usar isso 

#GameOfTrones 
#GameOfThronesFinale https://t.co/vO8SPHBRTV"
"1130310475709911040","EVERYBODY LET<U+2019>S SAY THANK YOU TO THE BEST CAST EVER. 

#GamefThrones #GameOfThronesFinale 
#TheFinalEpisode https://t.co/wGlNN3WW79"
"1130310475688927239","#GameOfThronesFinale #GameofThrones <U+0001F934> Me gusto el final <U+0001F44D> https://t.co/G8VriRnKXY"
"1130310475563044864","Por los dioses antiguos y nuevos, gracias por estos 8 a<U+00F1>os #GameOfThrones<U+0001F981><U+0001F43A><U+0001F409><U+2694><U+FE0F>
#GameOfThronesFinale https://t.co/WtpRA2TS6a"
"1130310475512713217","Coincidimos que esto fue lo mejorcito? #GameOfThronesFinale https://t.co/qYrX7rxjB6"
"1130310475353382914","<U+0001F64B><U+0001F3FB><U+200D><U+2642><U+FE0F>That<U+2019>s a wrap...

#GameOfThrones
#GameOfThronesFinale 
#Thefinaleepisode 
#ForTheThrone 
#TheFinalEpisode https://t.co/OtziVW6URc"
"1130310475017797632","Essa cena <U+00E9> sem defeitos #GameOfThronesFinale 

 https://t.co/YtADGrELLq"
"1130310474933817344","Now I wish night king had killed everybody.
#GameOfThronesFinale
#GameOfThrones<U+202F><U+202F><U+202F>#gameofthrones https://t.co/tv9TdryzW7"
"1130310292481748998","When you don't contribute the group project and still get an A  #GameOfThronesFinale https://t.co/k639VfriD0"
"1130310474921381888","Game Of Thrones started like a Marvel movie and has finished like a DC movie.

#GameOfThronesFinale #GameofThrones https://t.co/Ki9s2qKS7E"
"1130310474900361216","Este seria mejor final que el que estoy seguro nos van a dar <U+0001F62D><U+0001F494> #GameOfThronesFinale https://t.co/dHeNFs0Nrs"
"1130310474778718208","Por los dioses antiguos y nuevos, gracias por estos 8 a<U+00F1>os #GameOfThrones<U+0001F981><U+0001F43A><U+0001F409><U+2694><U+FE0F>
#GameOfThronesFinale https://t.co/WtpRA2TS6a"
"1130310474732646401","Lo de Sansa no tuvo madres.
Perfecta <U+0001F60D>
 #GameOfThronesFinale"
"1130310474657161222","Retuit a este Bran de la suerte para que triunfes sin hacer nada #GameOfThronesFinale #GameOfThrones  #GOT https://t.co/MruinaJWnN"
"1130310474548109312","Grey Worm when he couldn't kill Tyrion or Jon #GameOfThronesFinale https://t.co/HbkSEiJpQG"
"1130310474476605441","eu tentando engolir esse final de game of thrones #GameOfThronesFinale #gameofthrones
https://t.co/k9Zwul5dd6"
"1130310474279653377","Por los dioses antiguos y nuevos, gracias por estos 8 a<U+00F1>os #GameOfThrones<U+0001F981><U+0001F43A><U+0001F409><U+2694><U+FE0F>
#GameOfThronesFinale https://t.co/WtpRA2TS6a"
"1130310404939366401","Eu aparecendo na porta da HBO pra discutir essa 8<U+00B0> temporada com eles #GameOfThronesFinale #GameOfThrones https://t.co/YQyuSmZu2K"
"1130310392318767105","qualquer pessoa que quiser o trono agora

#GameOfThrones #GameOfThronesFinale https://t.co/hapwyDBmRk"
"1130310474120204288","A Cersei no momento que o Jon matou a Dany:

#GameOfThronesFinale
#GameOfThrones https://t.co/ELiEpQJ5yD"
