Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,19/08/24,Parma,Juventus,0,1,A,0,1,A,4,12,3,5,13,15,5,8,2,3,0,0
I1,19/08/24,Fiorentina,Napoli,3,4,A,1,2,A,12,11,7,8,21,16,4,5,2,4,0,0
I1,19/08/25,Udinese,Milan,1,0,H,0,0,D,13,10,7,0,16,11,9,4,1,3,0,0
I1,19/08/25,Cagliari,Brescia,0,1,A,0,0,D,9,10,5,3,10,12,8,8,2,2,0,0
I1,19/08/25,Hellas Verona,Bologna,1,1,D,1,1,D,6,13,3,4,13,14,1,6,1,3,1,0
I1,19/08/25,Roma,Genoa,3,3,D,2,2,D,20,7,10,5,14,16,5,1,3,1,0,0
I1,19/08/25,Sampdoria,Lazio,0,3,A,0,1,A,14,16,9,11,12,12,5,9,2,2,0,0
I1,19/08/25,SPAL,Atalanta,2,3,A,2,1,H,10,21,4,14,13,16,2,10,2,1,0,0
I1,19/08/25,Torino,Sassuolo,2,1,H,1,0,H,10,15,5,10,21,14,6,6,4,3,0,0
I1,19/08/26,Inter,Lecce,4,0,H,2,0,H,19,13,9,4,13,9,7,7,1,2,0,1
I1,19/08/30,Bologna,SPAL,1,0,H,0,0,D,-1,-1,-1,-1,13,15,11,2,3,2,0,0
I1,19/08/31,Milan,Brescia,1,0,H,1,0,H,17,7,4,2,14,18,5,3,3,4,0,0
I1,19/08/31,Juventus,Napoli,4,3,H,2,0,H,12,17,7,8,13,13,2,5,3,3,0,0
I1,19/09/01,Lazio,Roma,1,1,D,0,1,A,22,12,7,3,15,13,8,4,4,3,0,0
I1,19/09/01,Atalanta,Torino,2,3,A,1,1,D,27,15,10,7,14,18,12,5,2,2,0,0
I1,19/09/01,Cagliari,Inter,1,2,A,0,1,A,10,12,3,7,13,10,5,5,5,3,0,0
I1,19/09/01,Genoa,Fiorentina,2,1,H,1,0,H,22,21,9,8,17,15,9,8,2,0,0,0
I1,19/09/01,Lecce,Hellas Verona,0,1,A,0,0,D,15,18,4,6,14,14,2,7,2,3,0,0
