Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,20/11/01,Sampdoria,Genoa,1,1,D,1,1,D,8,12,3,5,18,10,7,4,5,1,0,0
I1,20/11/02,Hellas Verona,Benevento,3,1,H,1,0,H,15,16,7,6,20,15,4,5,5,4,0,1
I1,20/11/04,Genoa,Torino,1,2,A,0,2,A,15,8,3,2,10,18,5,2,2,4,0,0
I1,20/11/06,Sassuolo,Udinese,0,0,D,0,0,D,4,3,2,0,16,13,3,6,2,2,0,0
I1,20/11/07,Cagliari,Sampdoria,2,0,H,0,0,D,19,8,7,3,12,16,2,6,0,2,0,1
I1,20/11/07,Benevento,Spezia,0,3,A,0,1,A,5,8,2,7,13,19,2,4,3,3,0,0
I1,20/11/07,Parma,Fiorentina,0,0,D,0,0,D,5,8,0,5,18,17,2,3,1,2,0,0
I1,20/11/08,Lazio,Juventus,1,1,D,0,1,A,13,13,4,6,13,11,4,2,2,2,0,0
I1,20/11/08,Atalanta,Inter,1,1,D,0,0,D,9,11,3,4,15,12,2,5,1,3,0,0
I1,20/11/08,Genoa,Roma,1,3,A,0,1,A,9,18,6,11,10,11,1,8,1,0,0,0
I1,20/11/08,Torino,Crotone,0,0,D,0,0,D,6,9,2,3,15,16,6,3,3,3,0,1
I1,20/11/08,Bologna,Napoli,0,1,A,0,1,A,12,17,4,5,12,11,4,7,3,0,0,0
I1,20/11/08,Milan,Hellas Verona,2,2,D,1,2,A,35,7,9,4,16,20,14,1,1,3,0,0
I1,20/11/21,Crotone,Lazio,0,2,A,0,1,A,16,17,6,10,10,10,2,6,3,4,0,0
I1,20/11/21,Spezia,Atalanta,0,0,D,0,0,D,9,11,3,5,19,17,1,2,3,3,0,0
I1,20/11/21,Juventus,Cagliari,2,0,H,2,0,H,25,5,9,0,12,7,9,1,3,2,0,0
I1,20/11/22,Fiorentina,Benevento,0,1,A,0,0,D,10,16,5,5,14,17,4,4,2,3,0,0
I1,20/11/22,Inter,Torino,4,2,H,0,1,A,14,14,5,7,20,14,1,1,3,2,0,0
I1,20/11/22,Roma,Parma,3,0,H,3,0,H,21,2,8,2,5,4,4,1,0,0,0,0
I1,20/11/22,Sampdoria,Bologna,1,2,A,1,1,D,14,11,6,4,12,9,9,10,2,2,0,0
I1,20/11/22,Hellas Verona,Sassuolo,0,2,A,0,1,A,24,15,4,5,13,20,6,1,1,3,0,0
I1,20/11/22,Udinese,Genoa,1,0,H,1,0,H,9,12,3,2,17,15,4,8,2,3,0,1
I1,20/11/22,Napoli,Milan,1,3,A,0,1,A,19,14,7,8,8,16,8,5,2,4,1,0
I1,20/11/28,Sassuolo,Inter,0,3,A,0,2,A,15,11,4,4,11,13,6,2,3,1,0,0
I1,20/11/28,Benevento,Juventus,1,1,D,1,1,D,11,17,6,7,13,11,5,8,6,1,0,1
I1,20/11/28,Atalanta,Hellas Verona,0,2,A,0,0,D,19,10,6,4,11,14,4,1,2,3,0,0
I1,20/11/29,Lazio,Udinese,1,3,A,0,2,A,12,10,7,5,17,10,4,4,3,4,0,0
I1,20/11/29,Bologna,Crotone,1,0,H,1,0,H,13,10,7,2,15,18,10,3,2,4,0,0
I1,20/11/29,Milan,Fiorentina,2,0,H,2,0,H,14,5,4,3,15,15,3,6,2,4,0,0
I1,20/11/29,Cagliari,Spezia,2,2,D,0,1,A,12,18,5,7,16,18,4,5,0,4,0,0
I1,20/11/29,Napoli,Roma,4,0,H,1,0,H,15,10,9,3,3,10,11,4,1,2,0,0
I1,20/11/30,Torino,Sampdoria,2,2,D,1,0,H,16,12,8,4,18,17,6,2,1,2,0,0
I1,20/11/30,Genoa,Parma,1,2,A,0,1,A,15,9,6,3,12,16,2,2,2,2,0,0
I1,20/12/05,Spezia,Lazio,1,2,A,0,2,A,21,5,7,3,15,12,7,0,3,1,0,0
I1,20/12/05,Juventus,Torino,2,1,H,0,1,A,17,7,5,3,17,10,13,1,3,3,1,0
I1,20/12/05,Inter,Bologna,3,1,H,2,0,H,14,22,7,8,12,13,7,3,1,2,0,0
I1,20/12/06,Hellas Verona,Cagliari,1,1,D,1,0,H,15,13,3,3,11,14,7,5,2,0,0,0
I1,20/12/06,Parma,Benevento,0,0,D,0,0,D,11,10,0,4,13,12,6,3,4,4,0,0
I1,20/12/06,Roma,Sassuolo,0,0,D,0,0,D,17,8,3,3,10,11,12,5,4,3,1,0
I1,20/12/06,Crotone,Napoli,0,4,A,0,1,A,7,13,2,7,14,9,4,1,3,3,1,0
I1,20/12/06,Sampdoria,Milan,1,2,A,0,1,A,9,14,4,4,9,17,9,6,2,1,0,0
I1,20/12/07,Fiorentina,Genoa,1,1,D,0,0,D,17,6,6,4,7,20,5,1,2,2,0,0
I1,20/12/11,Sassuolo,Benevento,1,0,H,1,0,H,7,32,3,5,13,15,1,10,2,4,1,0
I1,20/12/12,Crotone,Spezia,4,1,H,1,1,D,11,14,8,6,16,14,1,4,3,3,0,0
I1,20/12/12,Torino,Udinese,2,3,A,0,1,A,10,11,5,4,9,17,2,2,3,3,0,0
I1,20/12/12,Lazio,Hellas Verona,1,2,A,0,1,A,14,6,5,5,13,15,5,3,5,3,0,0
I1,20/12/13,Cagliari,Inter,1,3,A,1,0,H,9,23,3,13,11,17,3,9,2,1,0,0
I1,20/12/13,Atalanta,Fiorentina,3,0,H,1,0,H,20,6,8,4,17,13,11,2,1,2,0,0
I1,20/12/13,Bologna,Roma,1,5,A,1,5,A,8,16,0,8,15,9,1,5,4,2,0,0
I1,20/12/13,Napoli,Sampdoria,2,1,H,0,1,A,22,8,8,4,7,13,7,5,3,4,0,0
I1,20/12/13,Genoa,Juventus,1,3,A,0,0,D,4,18,3,9,14,14,0,10,3,3,0,0
I1,20/12/13,Milan,Parma,2,2,D,0,1,A,25,6,6,4,12,14,13,1,3,3,0,0
I1,20/12/15,Udinese,Crotone,0,0,D,0,0,D,15,5,7,3,13,17,9,1,1,4,0,0
I1,20/12/15,Benevento,Lazio,1,1,D,1,1,D,16,15,7,4,15,15,4,8,2,2,1,0
I1,20/12/16,Juventus,Atalanta,1,1,D,1,0,H,14,15,7,7,14,17,2,6,3,2,0,0
I1,20/12/16,Fiorentina,Sassuolo,1,1,D,1,1,D,15,12,6,6,19,11,4,1,4,4,0,0
I1,20/12/16,Genoa,Milan,2,2,D,0,0,D,8,14,4,5,16,13,4,10,2,3,0,0
I1,20/12/16,Inter,Napoli,1,0,H,0,0,D,6,21,3,4,17,8,4,3,5,3,0,1
I1,20/12/16,Parma,Cagliari,0,0,D,0,0,D,12,7,4,6,13,11,8,5,1,1,0,0
I1,20/12/16,Spezia,Bologna,2,2,D,1,0,H,5,5,3,5,17,12,3,4,6,1,0,0
I1,20/12/16,Hellas Verona,Sampdoria,1,2,A,0,1,A,5,6,3,3,11,8,6,3,2,4,1,0
I1,20/12/17,Roma,Torino,3,1,H,2,0,H,17,15,9,5,22,16,4,2,4,2,0,1
I1,20/12/19,Fiorentina,Hellas Verona,1,1,D,1,1,D,8,7,2,4,10,15,4,1,2,2,0,0
I1,20/12/19,Sampdoria,Crotone,3,1,H,2,1,H,11,8,5,3,14,14,3,1,2,2,0,0
I1,20/12/19,Parma,Juventus,0,4,A,0,2,A,13,20,5,8,8,10,4,9,0,1,0,0
