Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,21/08/21,Hellas Verona,Sassuolo,2,3,A,0,1,A,16,20,5,9,12,12,7,4,2,2,1,0
I1,21/08/21,Inter,Genoa,4,0,H,2,0,H,20,12,11,4,18,7,8,2,1,2,0,0
I1,21/08/21,Empoli,Lazio,1,3,A,1,3,A,18,9,4,5,12,10,5,3,2,1,0,0
I1,21/08/21,Torino,Atalanta,1,2,A,0,1,A,20,8,8,3,17,13,5,1,2,2,0,0
I1,21/08/22,Bologna,Salernitana,3,2,H,0,0,D,20,10,8,4,12,13,9,4,4,2,2,1
I1,21/08/22,Udinese,Juventus,2,2,D,0,2,A,13,12,7,5,13,13,3,3,1,3,0,0
I1,21/08/22,Napoli,Venezia,2,0,H,0,0,D,14,9,5,6,6,19,2,2,1,7,1,0
I1,21/08/22,Roma,Fiorentina,3,1,H,1,0,H,12,12,8,9,12,18,4,4,2,2,1,1
I1,21/08/23,Cagliari,Spezia,2,2,D,0,1,A,21,16,8,7,17,16,11,4,2,3,0,0
I1,21/08/23,Sampdoria,Milan,0,1,A,0,1,A,20,14,7,7,15,13,8,3,3,1,0,0
I1,21/08/27,Udinese,Venezia,3,0,H,1,0,H,23,12,11,4,11,8,7,2,2,3,0,0
I1,21/08/27,Hellas Verona,Inter,1,3,A,1,0,H,8,17,2,10,13,12,6,4,2,2,0,0
I1,21/08/28,Atalanta,Bologna,0,0,D,0,0,D,23,5,4,2,12,14,5,5,2,5,0,0
I1,21/08/28,Lazio,Spezia,6,1,H,3,1,H,20,4,11,2,12,7,4,2,0,2,0,1
I1,21/08/28,Fiorentina,Torino,2,1,H,1,0,H,11,6,7,3,12,29,3,3,4,5,0,0
I1,21/08/28,Juventus,Empoli,0,1,A,0,1,A,19,6,6,4,9,7,8,9,2,3,0,0
I1,21/08/29,Genoa,Napoli,1,2,A,0,1,A,8,15,5,9,17,15,4,5,2,3,0,0
I1,21/08/29,Sassuolo,Sampdoria,0,0,D,0,0,D,19,11,5,3,7,15,8,6,2,2,0,0
I1,21/08/29,Milan,Cagliari,4,1,H,4,1,H,21,8,6,3,13,11,8,3,1,5,0,0
I1,21/08/29,Salernitana,Roma,0,4,A,0,0,D,6,28,0,11,12,13,1,10,2,2,0,0
I1,21/09/11,Empoli,Venezia,1,2,A,0,1,A,23,11,8,4,12,20,8,2,2,5,0,0
I1,21/09/11,Napoli,Juventus,2,1,H,0,1,A,21,9,6,2,10,13,13,1,2,1,0,0
I1,21/09/11,Atalanta,Fiorentina,1,2,A,0,1,A,16,8,7,3,10,17,10,3,4,4,0,0
I1,21/09/12,Sampdoria,Inter,2,2,D,1,2,A,15,9,4,5,12,13,4,4,4,4,0,0
I1,21/09/12,Cagliari,Genoa,2,3,A,1,0,H,11,12,6,4,15,15,2,6,2,3,0,0
I1,21/09/12,Spezia,Udinese,0,1,A,0,0,D,21,11,5,5,14,17,4,5,1,2,0,0
I1,21/09/12,Torino,Salernitana,4,0,H,1,0,H,16,9,8,4,10,11,7,4,0,2,0,0
I1,21/09/12,Milan,Lazio,2,0,H,1,0,H,23,9,4,6,9,18,5,1,1,4,0,0
I1,21/09/12,Roma,Sassuolo,2,1,H,1,0,H,18,19,7,10,7,11,4,6,2,1,0,0
I1,21/09/13,Bologna,Hellas Verona,1,0,H,0,0,D,16,6,4,0,14,20,6,2,1,3,0,0
I1,21/09/17,Sassuolo,Torino,0,1,A,0,0,D,12,19,3,5,7,19,6,3,0,4,0,0
I1,21/09/18,Genoa,Fiorentina,1,2,A,0,0,D,10,16,4,6,12,15,1,11,4,4,0,0
I1,21/09/18,Inter,Bologna,6,1,H,3,0,H,19,8,12,3,9,9,5,1,0,3,0,0
I1,21/09/18,Salernitana,Atalanta,0,1,A,0,0,D,12,11,2,4,20,13,6,4,4,4,0,0
I1,21/09/19,Empoli,Sampdoria,0,3,A,0,1,A,17,17,6,9,9,9,8,8,2,2,0,0
