Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,19/09/29,Fortuna Dusseldorf,Freiburg,1,2,A,1,1,D,20,8,9,3,9,11,5,1,2,2,0,0
D1,19/09/29,FC Koln,Hertha,0,4,A,0,1,A,10,12,4,8,10,13,8,4,1,0,1,0
D1,19/10/04,Hertha,Fortuna Dusseldorf,3,1,H,2,1,H,17,11,4,5,17,18,9,2,3,3,0,0
D1,19/10/05,Bayern Munich,Hoffenheim,1,2,A,0,0,D,23,10,6,7,9,12,9,3,2,0,0,0
D1,19/10/05,Leverkusen,RB Leipzig,1,1,D,0,0,D,12,16,8,10,12,13,4,0,2,2,0,0
D1,19/10/05,Freiburg,Dortmund,2,2,D,0,1,A,8,10,2,5,10,8,3,11,0,3,0,0
D1,19/10/05,Paderborn,Mainz,1,2,A,1,2,A,17,19,8,8,9,19,7,10,1,4,0,0
D1,19/10/05,Schalke 04,FC Koln,1,1,D,0,0,D,11,10,5,6,17,17,6,4,4,4,0,0
D1,19/10/06,M'gladbach,Augsburg,5,1,H,4,0,H,13,14,10,3,9,9,2,7,1,2,0,0
D1,19/10/06,Wolfsburg,Union Berlin,1,0,H,0,0,D,9,9,4,4,18,15,5,4,2,2,0,0
D1,19/10/06,Ein Frankfurt,Werder Bremen,2,2,D,0,1,A,25,10,9,7,12,8,10,1,2,1,0,0
D1,19/10/18,Ein Frankfurt,Leverkusen,3,0,H,2,0,H,10,22,6,11,11,12,4,1,1,1,0,0
D1,19/10/19,RB Leipzig,Wolfsburg,1,1,D,0,0,D,16,14,6,7,13,11,3,3,1,3,0,0
D1,19/10/19,Werder Bremen,Hertha,1,1,D,1,0,H,16,13,7,3,9,12,7,5,1,1,0,0
D1,19/10/19,Fortuna Dusseldorf,Mainz,1,0,H,0,0,D,20,9,4,2,11,18,8,1,2,3,0,1
D1,19/10/19,Augsburg,Bayern Munich,2,2,D,1,1,D,10,26,8,9,11,7,3,7,3,3,0,0
D1,19/10/19,Union Berlin,Freiburg,2,0,H,1,0,H,18,15,6,5,21,13,3,4,3,0,0,0
D1,19/10/19,Dortmund,M'gladbach,1,0,H,0,0,D,16,12,6,3,13,16,10,8,1,2,0,0
D1,19/10/20,FC Koln,Paderborn,3,0,H,1,0,H,16,10,7,2,7,8,6,9,0,0,0,0
D1,19/10/20,Hoffenheim,Schalke 04,2,0,H,0,0,D,9,11,3,2,12,16,3,8,2,2,0,0
D1,19/10/25,Mainz,FC Koln,3,1,H,1,1,D,19,18,7,9,20,9,5,10,2,2,0,0
D1,19/10/26,Bayern Munich,Union Berlin,2,1,H,1,0,H,21,6,10,5,10,16,8,2,0,1,0,0
D1,19/10/26,Hertha,Hoffenheim,2,3,A,0,2,A,14,21,5,8,17,11,4,4,2,3,1,0
D1,19/10/26,Freiburg,RB Leipzig,2,1,H,1,0,H,13,22,4,6,9,9,5,4,3,1,0,0
D1,19/10/26,Schalke 04,Dortmund,0,0,D,0,0,D,16,11,4,5,9,9,8,2,3,2,0,0
D1,19/10/26,Paderborn,Fortuna Dusseldorf,2,0,H,1,0,H,15,20,7,5,23,16,4,7,5,4,0,0
D1,19/10/26,Leverkusen,Werder Bremen,2,2,D,1,1,D,22,12,5,4,14,13,10,1,2,1,0,0
D1,19/10/27,Wolfsburg,Augsburg,0,0,D,0,0,D,16,10,4,6,14,14,5,3,0,0,0,0
D1,19/10/27,M'gladbach,Ein Frankfurt,4,2,H,2,0,H,14,16,8,5,13,15,5,6,1,1,0,0
D1,19/11/01,Hoffenheim,Paderborn,3,0,H,3,0,H,13,11,8,4,7,12,4,4,0,1,0,0
D1,19/11/02,Dortmund,Wolfsburg,3,0,H,0,0,D,17,12,8,4,12,19,7,2,1,3,0,0
D1,19/11/02,RB Leipzig,Mainz,8,0,H,5,0,H,20,10,12,3,11,7,3,4,0,1,0,0
D1,19/11/02,Leverkusen,M'gladbach,1,2,A,1,2,A,24,11,7,6,13,9,13,0,2,1,1,0
D1,19/11/02,Ein Frankfurt,Bayern Munich,5,1,H,2,1,H,17,11,12,6,14,7,3,0,1,2,0,1
D1,19/11/02,Werder Bremen,Freiburg,2,2,D,1,1,D,22,12,12,4,18,10,5,0,3,3,0,1
D1,19/11/02,Union Berlin,Hertha,1,0,H,0,0,D,16,9,7,4,14,10,1,4,1,1,0,0
D1,19/11/03,Fortuna Dusseldorf,FC Koln,2,0,H,1,0,H,8,9,4,2,11,20,3,4,1,3,0,0
D1,19/11/03,Augsburg,Schalke 04,2,3,A,1,1,D,14,11,6,4,13,11,1,6,3,5,0,0
D1,19/11/08,FC Koln,Hoffenheim,1,2,A,1,0,H,12,18,4,7,21,14,5,7,4,3,0,0
D1,19/11/09,Hertha,RB Leipzig,2,4,A,1,2,A,8,10,4,7,12,12,0,5,2,1,0,0
D1,19/11/09,Mainz,Union Berlin,2,3,A,0,2,A,18,17,6,6,16,16,3,2,1,4,0,0
D1,19/11/09,Schalke 04,Fortuna Dusseldorf,3,3,D,1,0,H,13,9,6,6,10,17,2,4,2,4,0,0
D1,19/11/09,Paderborn,Augsburg,0,1,A,0,1,A,13,15,5,6,15,12,5,7,1,3,0,0
D1,19/11/09,Bayern Munich,Dortmund,4,0,H,1,0,H,17,3,6,0,11,12,2,1,2,1,0,0
D1,19/11/10,M'gladbach,Werder Bremen,3,1,H,2,0,H,21,16,10,7,18,13,3,8,4,4,1,0
D1,19/11/10,Wolfsburg,Leverkusen,0,2,A,0,1,A,12,11,2,6,9,11,9,0,2,2,0,0
D1,19/11/10,Freiburg,Ein Frankfurt,1,0,H,0,0,D,15,17,8,7,7,13,8,10,1,2,1,2
D1,19/11/22,Dortmund,Paderborn,3,3,D,0,3,A,16,11,6,6,9,7,10,2,3,1,0,0
D1,19/11/23,Leverkusen,Freiburg,1,1,D,1,1,D,26,11,9,4,10,14,13,3,0,3,0,0
D1,19/11/23,Ein Frankfurt,Wolfsburg,0,2,A,0,1,A,18,10,10,7,13,23,12,1,3,4,0,1
D1,19/11/23,Werder Bremen,Schalke 04,1,2,A,0,1,A,18,15,5,8,12,16,1,3,3,2,0,0
D1,19/11/23,Fortuna Dusseldorf,Bayern Munich,0,4,A,0,3,A,13,20,2,7,8,6,8,6,1,1,0,0
D1,19/11/23,Union Berlin,M'gladbach,2,0,H,1,0,H,12,14,7,3,12,7,2,6,1,1,0,0
D1,19/11/23,RB Leipzig,FC Koln,4,1,H,3,1,H,22,7,9,2,9,15,13,3,0,3,0,0
D1,19/11/24,Augsburg,Hertha,4,0,H,2,0,H,16,6,6,3,9,19,3,3,0,2,0,1
D1,19/11/24,Hoffenheim,Mainz,1,5,A,0,1,A,20,14,10,7,12,14,14,3,1,3,0,1
D1,19/11/29,Schalke 04,Union Berlin,2,1,H,1,1,D,18,19,9,8,12,13,7,4,1,4,0,0
D1,19/11/30,Hoffenheim,Fortuna Dusseldorf,1,1,D,1,0,H,12,13,6,4,12,16,2,5,2,4,0,0
D1,19/11/30,Hertha,Dortmund,1,2,A,1,2,A,15,8,5,5,14,10,2,2,3,1,0,1
D1,19/11/30,FC Koln,Augsburg,1,1,D,0,1,A,14,10,8,4,15,17,4,8,7,2,1,1
D1,19/11/30,Paderborn,RB Leipzig,2,3,A,0,3,A,8,20,4,8,10,13,6,6,3,3,0,0
D1,19/11/30,Bayern Munich,Leverkusen,1,2,A,1,2,A,27,12,11,8,9,16,8,2,1,3,0,1
D1,19/12/01,M'gladbach,Freiburg,4,2,H,1,1,D,20,12,11,5,15,16,2,3,3,2,0,0
D1,19/12/01,Wolfsburg,Werder Bremen,2,3,A,1,2,A,21,10,8,4,15,16,9,3,1,4,0,0
D1,19/12/02,Mainz,Ein Frankfurt,2,1,H,0,1,A,19,14,9,5,13,10,8,6,1,2,0,1
D1,19/12/06,Ein Frankfurt,Hertha,2,2,D,0,1,A,24,9,8,4,11,15,16,1,3,4,0,0
D1,19/12/07,Dortmund,Fortuna Dusseldorf,5,0,H,1,0,H,27,3,12,0,8,10,6,0,0,3,0,0
D1,19/12/07,RB Leipzig,Hoffenheim,3,1,H,1,0,H,24,11,13,2,16,5,8,6,3,1,0,0
D1,19/12/07,M'gladbach,Bayern Munich,2,1,H,0,0,D,9,18,4,5,14,18,2,5,3,4,0,1
D1,19/12/07,Freiburg,Wolfsburg,1,0,H,0,0,D,12,11,5,0,14,21,2,7,0,2,0,0
D1,19/12/07,Augsburg,Mainz,2,1,H,1,1,D,18,14,5,5,15,15,8,2,2,2,0,0
D1,19/12/07,Leverkusen,Schalke 04,2,1,H,1,0,H,19,6,9,4,13,13,9,0,2,2,0,0
D1,19/12/08,Union Berlin,FC Koln,2,0,H,1,0,H,11,14,6,5,21,19,3,5,1,3,0,0
D1,19/12/08,Werder Bremen,Paderborn,0,1,A,0,0,D,13,17,4,7,10,13,13,6,1,4,0,0
D1,19/12/13,Hoffenheim,Augsburg,2,4,A,1,1,D,19,7,6,5,10,7,11,1,1,0,0,0
D1,19/12/14,Bayern Munich,Werder Bremen,6,1,H,2,1,H,31,12,16,4,15,13,8,2,2,2,0,0
D1,19/12/14,Hertha,Freiburg,1,0,H,0,0,D,17,16,5,4,11,6,4,7,2,0,0,0
D1,19/12/14,Mainz,Dortmund,0,4,A,0,1,A,9,20,0,8,9,10,3,5,1,0,0,0
D1,19/12/14,FC Koln,Leverkusen,2,0,H,0,0,D,13,6,5,3,14,12,3,4,2,2,0,2
D1,19/12/14,Paderborn,Union Berlin,1,1,D,1,1,D,16,17,5,3,19,16,2,3,2,4,0,0
D1,19/12/14,Fortuna Dusseldorf,RB Leipzig,0,3,A,0,1,A,7,23,2,8,12,10,3,9,2,1,0,0
D1,19/12/15,Wolfsburg,M'gladbach,2,1,H,1,1,D,18,8,7,7,20,15,5,2,3,3,0,0
D1,19/12/15,Schalke 04,Ein Frankfurt,1,0,H,0,0,D,12,17,6,5,15,12,7,6,1,4,1,0
D1,19/12/17,Werder Bremen,Mainz,0,5,A,0,4,A,17,17,5,9,14,13,8,5,2,2,0,0
D1,19/12/17,Dortmund,RB Leipzig,3,3,D,2,0,H,16,13,9,8,9,5,12,3,0,0,0,0
D1,19/12/17,Augsburg,Fortuna Dusseldorf,3,0,H,1,0,H,11,6,6,3,11,14,4,2,3,4,0,0
D1,19/12/17,Union Berlin,Hoffenheim,0,2,A,0,0,D,19,8,5,5,17,14,6,1,2,6,0,0
D1,19/12/18,Leverkusen,Hertha,0,1,A,0,0,D,20,11,8,6,12,16,5,4,2,3,0,0
D1,19/12/18,M'gladbach,Paderborn,2,0,H,0,0,D,22,13,9,4,6,15,8,4,2,3,0,0
D1,19/12/18,Wolfsburg,Schalke 04,1,1,D,0,0,D,30,7,10,3,14,11,12,5,1,1,0,0
D1,19/12/18,Ein Frankfurt,FC Koln,2,4,A,2,1,H,18,23,7,10,12,10,7,10,2,4,0,0
D1,19/12/18,Freiburg,Bayern Munich,1,3,A,0,1,A,17,24,6,10,6,8,6,8,0,3,0,0
D1,19/12/20,Hoffenheim,Dortmund,2,1,H,0,1,A,13,14,5,5,8,12,0,8,0,1,0,0
D1,19/12/21,Bayern Munich,Wolfsburg,2,0,H,0,0,D,20,13,9,4,7,9,12,6,2,2,0,0
D1,19/12/21,RB Leipzig,Augsburg,3,1,H,0,1,A,29,8,8,3,8,10,11,4,1,3,0,0
D1,19/12/21,Mainz,Leverkusen,0,1,A,0,0,D,22,14,4,4,9,9,6,6,0,1,0,1
D1,19/12/21,Schalke 04,Freiburg,2,2,D,1,0,H,20,19,7,7,10,12,7,5,1,1,0,0
D1,19/12/21,FC Koln,Werder Bremen,1,0,H,1,0,H,8,7,2,2,11,20,1,7,1,4,0,0
D1,19/12/21,Hertha,M'gladbach,0,0,D,0,0,D,9,14,0,6,12,11,1,7,2,2,0,0
D1,19/12/22,Fortuna Dusseldorf,Union Berlin,2,1,H,1,0,H,23,14,8,4,12,20,7,5,2,4,0,0
D1,19/12/22,Paderborn,Ein Frankfurt,2,1,H,2,0,H,19,19,6,5,11,11,3,8,3,2,0,0
D1,20/01/17,Schalke 04,M'gladbach,2,0,H,0,0,D,16,16,8,6,13,17,8,8,3,4,0,0
D1,20/01/18,Hoffenheim,Ein Frankfurt,1,2,A,0,1,A,16,13,7,3,11,13,8,6,2,2,0,0
D1,20/01/18,Fortuna Dusseldorf,Werder Bremen,0,1,A,0,0,D,18,14,3,4,17,15,6,4,4,4,0,1
D1,20/01/18,Mainz,Freiburg,1,2,A,0,2,A,26,15,11,5,15,11,7,5,4,2,0,0
D1,20/01/18,Augsburg,Dortmund,3,5,A,1,0,H,14,20,6,10,6,6,2,6,0,1,0,0
D1,20/01/18,FC Koln,Wolfsburg,3,1,H,2,0,H,13,20,8,10,11,18,8,5,3,3,0,0
D1,20/01/18,RB Leipzig,Union Berlin,3,1,H,0,1,A,20,16,8,6,7,20,4,4,1,3,0,0
D1,20/01/19,Hertha,Bayern Munich,0,4,A,0,0,D,7,18,2,10,7,14,0,4,3,1,0,0
D1,20/01/19,Paderborn,Leverkusen,1,4,A,0,3,A,13,16,8,8,8,11,6,4,3,1,0,0
D1,20/01/24,Dortmund,FC Koln,5,1,H,2,0,H,15,11,10,5,5,7,1,3,1,1,0,0
D1,20/01/25,M'gladbach,Mainz,3,1,H,1,1,D,16,14,7,10,7,14,6,3,1,3,0,0
D1,20/01/25,Wolfsburg,Hertha,1,2,A,0,0,D,22,10,9,5,8,9,9,4,0,1,0,0
D1,20/01/25,Ein Frankfurt,RB Leipzig,2,0,H,0,0,D,8,26,6,7,7,8,4,6,1,2,0,0
D1,20/01/25,Freiburg,Paderborn,0,2,A,0,0,D,24,20,8,4,11,8,6,6,4,2,0,1
D1,20/01/25,Union Berlin,Augsburg,2,0,H,0,0,D,12,18,4,4,18,9,4,5,4,1,0,0
D1,20/01/25,Bayern Munich,Schalke 04,5,0,H,2,0,H,24,9,16,3,3,5,9,2,0,0,0,0
D1,20/01/26,Werder Bremen,Hoffenheim,0,3,A,0,0,D,18,10,4,6,16,15,7,4,2,2,0,0
D1,20/01/26,Leverkusen,Fortuna Dusseldorf,3,0,H,1,0,H,28,15,10,4,10,11,8,5,0,3,0,0
