Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,22/08/05,Ein Frankfurt,Bayern Munich,1,6,A,0,5,A,10,24,4,11,10,11,5,6,2,0,0,0
D1,22/08/06,Union Berlin,Hertha,3,1,H,1,0,H,6,2,4,2,23,17,5,4,2,3,0,0
D1,22/08/06,M'gladbach,Hoffenheim,3,1,H,1,1,D,8,3,5,2,18,12,5,1,1,3,0,1
D1,22/08/06,Wolfsburg,Werder Bremen,2,2,D,1,2,A,12,12,4,6,11,14,2,5,2,2,0,0
D1,22/08/06,Bochum,Mainz,1,2,A,1,1,D,15,13,3,7,1,1,3,5,2,3,0,0
D1,22/08/06,Augsburg,Freiburg,0,4,A,0,0,D,12,24,3,10,13,13,5,8,0,0,0,0
D1,22/08/06,Dortmund,Leverkusen,1,0,H,1,0,H,16,11,5,6,11,13,3,3,2,4,0,1
D1,22/08/07,Stuttgart,RB Leipzig,1,1,D,1,1,D,7,21,2,9,14,9,1,9,2,1,0,0
D1,22/08/07,FC Koln,Schalke 04,3,1,H,0,0,D,27,7,8,3,8,10,9,1,0,1,0,1
D1,22/08/12,Freiburg,Dortmund,1,3,A,1,0,H,20,14,8,6,16,10,9,2,1,3,0,0
D1,22/08/13,Leverkusen,Augsburg,1,2,A,1,1,D,23,8,11,6,7,15,7,3,1,6,0,0
D1,22/08/13,RB Leipzig,FC Koln,2,2,D,1,1,D,13,15,9,6,8,18,2,7,1,4,1,0
D1,22/08/13,Hoffenheim,Bochum,3,2,H,2,2,D,24,13,11,6,14,10,8,2,1,1,0,0
D1,22/08/13,Hertha,Ein Frankfurt,1,1,D,1,0,H,13,12,6,2,10,11,4,5,3,1,0,0
D1,22/08/13,Werder Bremen,Stuttgart,2,2,D,1,1,D,7,15,4,8,6,10,2,5,4,2,0,0
D1,22/08/13,Schalke 04,M'gladbach,2,2,D,1,0,H,13,16,5,10,12,8,2,7,4,2,0,0
D1,22/08/14,Mainz,Union Berlin,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/14,Bayern Munich,Wolfsburg,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/19,M'gladbach,Hertha,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/20,Dortmund,Werder Bremen,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/20,Leverkusen,Hoffenheim,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/20,Wolfsburg,Schalke 04,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/20,Augsburg,Mainz,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/20,Stuttgart,Freiburg,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/20,Union Berlin,RB Leipzig,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/21,Ein Frankfurt,FC Koln,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/21,Bochum,Bayern Munich,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/26,Freiburg,Bochum,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/27,RB Leipzig,Wolfsburg,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/27,Mainz,Leverkusen,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/27,Hoffenheim,Augsburg,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/27,Hertha,Dortmund,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/27,Schalke 04,Union Berlin,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/27,Bayern Munich,M'gladbach,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/28,FC Koln,Stuttgart,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/08/28,Werder Bremen,Ein Frankfurt,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/02,Dortmund,Hoffenheim,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/03,Leverkusen,Freiburg,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/03,Union Berlin,Bayern Munich,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/03,Wolfsburg,FC Koln,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/03,Bochum,Werder Bremen,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/03,Stuttgart,Schalke 04,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/03,Ein Frankfurt,RB Leipzig,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/04,Augsburg,Hertha,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/04,M'gladbach,Mainz,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/09,Werder Bremen,Augsburg,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/10,Bayern Munich,Stuttgart,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/10,RB Leipzig,Dortmund,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/10,Hoffenheim,Mainz,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/10,Ein Frankfurt,Wolfsburg,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/10,Hertha,Leverkusen,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/10,Schalke 04,Bochum,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/11,FC Koln,Union Berlin,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/11,Freiburg,M'gladbach,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/16,Mainz,Hertha,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/17,Augsburg,Bayern Munich,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/17,Leverkusen,Werder Bremen,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/17,Stuttgart,Ein Frankfurt,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/17,Dortmund,Schalke 04,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/17,M'gladbach,RB Leipzig,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/18,Union Berlin,Wolfsburg,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/18,Bochum,FC Koln,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/09/18,Hoffenheim,Freiburg,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/10/01,Bayern Munich,Leverkusen,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/10/01,RB Leipzig,Bochum,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/10/01,Freiburg,Mainz,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/10/01,FC Koln,Dortmund,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/10/01,Ein Frankfurt,Union Berlin,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D1,22/10/01,Wolfsburg,Stuttgart,0,0,D,0,0,D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
